2025-07-21 14:22:48 | config-x/auto-comm > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:27:59 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:28:00 | MRBTS(130120) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:28:11 | MRBTS(130120) > | set debug true | RESULT: OK
2025-07-21 14:30:27 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:30:27 | MRBTS(130120) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:31:04 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:31:04 | MRBTS(130120) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:31:12 | MRBTS(130120) > | set debug true | RESULT: OK
2025-07-21 14:32:09 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:32:10 | MRBTS(130120) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:32:14 | MRBTS(130120) > | set debug true | RESULT: OK
2025-07-21 14:34:42 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:34:43 | MRBTS(130120) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:34:53 | MRBTS(130120) > | set debug true | RESULT: OK
2025-07-21 14:35:38 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:35:38 | MRBTS(130120) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:35:43 | MRBTS(130120) > | set debug true | RESULT: OK
2025-07-21 14:37:01 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:37:02 | MRBTS(130120) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:37:05 | MRBTS(130120) > | set debug true | RESULT: OK
2025-07-21 14:38:03 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:38:06 | MRBTS(130120) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:38:10 | MRBTS(130120) > | set debug true | RESULT: OK
2025-07-21 14:41:11 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:42:23 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:43:07 | MRBTS(130126) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:48:58 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:49:41 | MRBTS(130126) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:56:24 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 14:57:07 | MRBTS(130126) > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 14:57:35 | MRBTS(130126) > eqm(1) > apeqm(1) > rmod(1) > | autocomm_run_script 101.DU130126_Cell48291_initcell_pass.cli | RESULT: OK
2025-07-21 15:08:59 | config-x/auto-comm > | set_cfg_scf 25R2_NOKIA_CLI_Rulebook_SCF_DU10_InitCell_LTE_V1.0.xml | RESULT: NOK
2025-07-21 15:19:09 | config-x/auto-comm > | set_cfg_scf 25R2_NOKIA_CLI_Rulebook_SCF_DU10_InitCell_LTE_V1.0.xml | RESULT: NOK
2025-07-21 15:21:16 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-21 15:21:16 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-21 15:21:16 | config > | init_stp | RESULT: OK
2025-07-21 15:21:16 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-21 15:21:20 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-21 15:21:24 | MRBTS(130126) > | set_cfg_scf 25R2_NOKIA_CLI_Rulebook_SCF_DU10_InitBts_LTE_V1.0.xml | RESULT: OK
2025-07-21 15:21:41 | MRBTS(130126) > | set_cfg_scf 25R2_NOKIA_CLI_Rulebook_SCF_DU10_InitCell_LTE_V1.0.xml | RESULT: NOK
2025-07-21 15:22:17 | MRBTS(130126) > | set_cfg_scf 25R2_NOKIA_CLI_Rulebook_SCF_DU10_InitCell_LTE_V1.0.xml | RESULT: OK
2025-07-21 15:22:23 | MRBTS(130126) > | commit_all -t 1 | RESULT: OK
2025-07-21 15:29:26 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
