2025-07-09 16:38:08 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 16:38:08 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-09 16:38:08 | config > | init_stp | RESULT: OK
2025-07-09 16:38:08 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-09 16:38:08 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-09 16:38:09 | MRBTS(130126) > | exec_script DU10_INITBTS_FILTER_SCRIPT_V0.7.5.cli | RESULT: OK
2025-07-09 16:38:34 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 16:38:34 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-09 16:38:34 | config > | init_stp | RESULT: OK
2025-07-09 16:38:34 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-09 16:38:34 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-09 16:38:35 | MRBTS(130126) > | exec_script DU10_INITBTS_FILTER_SCRIPT_V0.7.5.cli | RESULT: OK
2025-07-09 17:25:03 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 17:25:03 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-09 17:25:03 | config > | init_stp | RESULT: OK
2025-07-09 17:25:03 | config > | init_bts -r 4G -v 24R2 -i 65534 | RESULT: OK
2025-07-09 17:26:39 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 17:26:39 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-09 17:26:40 | config > | init_stp | RESULT: OK
2025-07-09 17:26:40 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-09 17:26:40 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-09 17:26:41 | MRBTS(130126) > | exec_script DU10_INITBTS_FILTER_SCRIPT_V0.7.5.cli | RESULT: OK
2025-07-09 17:30:23 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 17:30:23 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-09 17:30:23 | config > | init_stp | RESULT: OK
2025-07-09 17:30:24 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-09 17:30:24 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-09 17:31:59 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 17:31:59 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-09 17:31:59 | config > | init_stp | RESULT: OK
2025-07-09 17:31:59 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-09 17:31:59 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-09 17:32:05 | MRBTS(130126) > | exec_script DU10_INITBTS_FILTER_SCRIPT_V0.7.5.cli | RESULT: OK
2025-07-09 17:35:26 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 17:35:26 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-09 17:35:26 | config > | init_stp | RESULT: OK
2025-07-09 17:35:26 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-09 17:35:26 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-09 17:35:28 | MRBTS(130126) > | exec_script DU10_INITBTS_FILTER_SCRIPT_V0.7.5.cli | RESULT: OK
2025-07-09 17:40:48 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 17:40:48 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-09 17:40:48 | config > | init_stp | RESULT: OK
2025-07-09 17:40:48 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-09 17:40:48 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-09 17:40:50 | MRBTS(130126) > | exec_script DU10_INITBTS_FILTER_SCRIPT_V0.7.5.cli | RESULT: OK
2025-07-09 17:48:26 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-09 17:48:26 | config/init-stp > | check_ping 130126 | RESULT: OK
