2025-07-10 11:27:34 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-10 11:27:34 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-10 11:27:35 | config > | init_stp | RESULT: OK
2025-07-10 11:27:40 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-10 11:27:40 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-10 11:27:40 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-10 11:27:49 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-10 11:27:50 | MRBTS(130126) > | exec_script senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-10 11:27:50 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
2025-07-10 11:35:53 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-10 11:35:53 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-10 11:35:53 | config > | init_stp | RESULT: OK
2025-07-10 11:35:58 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-10 11:35:58 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-10 11:35:58 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-10 11:36:06 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-10 11:36:07 | MRBTS(130126) > | exec_script senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-10 11:36:07 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
2025-07-10 11:37:52 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-10 11:37:52 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-10 11:37:52 | config > | init_stp | RESULT: OK
2025-07-10 11:37:58 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-10 11:37:58 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-10 11:37:58 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-10 11:38:09 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-10 11:38:10 | MRBTS(130126) > | exec_script senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-10 11:38:10 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
2025-07-10 11:41:43 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-10 11:41:44 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-10 11:41:44 | config > | init_stp | RESULT: OK
2025-07-10 11:41:50 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-10 11:41:50 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-10 11:41:51 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-10 11:41:59 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-10 11:42:00 | MRBTS(130126) > | exec_script senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-10 11:42:00 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
2025-07-10 12:11:17 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-10 12:11:17 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-10 12:11:18 | config > | init_stp | RESULT: OK
2025-07-10 12:11:23 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-10 12:11:23 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-10 12:11:23 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-10 12:11:32 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-10 12:11:33 | MRBTS(130126) > | exec_script senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-10 12:11:44 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
2025-07-10 12:12:33 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-10 12:12:33 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-10 12:12:34 | config > | init_stp | RESULT: OK
2025-07-10 12:12:39 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-10 12:12:39 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-10 12:12:39 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-10 12:12:49 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-10 12:12:58 | MRBTS(130126) > | exec_script senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-10 12:13:06 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
2025-07-10 12:16:20 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-10 12:16:20 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-10 12:16:20 | config > | init_stp | RESULT: OK
2025-07-10 12:16:24 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-10 12:16:24 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-10 12:16:24 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-10 12:16:33 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-10 12:16:34 | MRBTS(130126) > | exec_script senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-10 12:16:34 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
2025-07-10 12:23:06 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-10 12:23:06 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-10 12:23:07 | config > | init_stp | RESULT: OK
2025-07-10 12:23:13 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-10 12:23:13 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-10 12:23:13 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-10 12:23:22 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-10 12:23:23 | MRBTS(130126) > | exec_script senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-10 12:23:25 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
